starting_date,duration,snow,floods,storm,hurricane,rain,cold,hot,comment
2013-12-23,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,N.C.
2013-11-19,11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2013-10-18,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2013-10-01,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2013-09-04,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2013-07-31,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,N.C.
2013-07-21,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,N.C.
2013-05-16,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2013-04-13,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2013-03-29,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2013-01-29,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2013-01-16,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,N.C.
2014-12-18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-10-24,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-10-16,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-10-03,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-07-26,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,N.C.
2014-06-07,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,N.C.
2014-03-29,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-03-07,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2014-01-04,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-12-14,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-11-05,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-10-26,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-07-10,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-06-28,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-05-10,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-04-12,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2015-03-07,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-10-10,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2016-09-23,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-09-23,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-09-01,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-08-23,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-08-13,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-07-18,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-05-28,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,N.C.
2016-02-13,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N.C.
2016-02-07,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N.C.
2016-01-24,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2016-01-11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N.C.
2017-12-11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N.C.
2017-11-30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N.C.
2017-10-10,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-09-16,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2017-08-25,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-06-12,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-05-23,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-04-20,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2017-04-19,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2017-04-07,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-03-27,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-02-13,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2017-01-16,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2018-12-03,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2018-11-05,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2018-10-27,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2018-09-30,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2018-09-17,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2018-08-25,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
2018-06-30,5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,N.C.
2018-05-20,24,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N.C.
2018-05-03,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N.C.
2018-04-17,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.C.
2018-02-26,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N.C.
